,precision,recall,f1-score,support
normal_production,0.8789625360230547,0.840683572216097,0.8593970132431671,3628.0
roughness_high,0.3927536231884058,0.4363929146537842,0.41342486651411137,621.0
high_df,0.40928725701943847,0.6103059581320451,0.48998060762766643,621.0
width_variation,0.7577197149643705,0.604739336492891,0.672641012124407,1055.0
local_defect,1.0,0.8048780487804879,0.8918918918918919,41.0
via_stub,1.0,1.0,1.0,21.0
return_path_issue,0.7222222222222222,1.0,0.8387096774193549,13.0
accuracy,0.7341666666666666,0.7341666666666666,0.7341666666666666,0.7341666666666666
macro avg,0.7372779076310703,0.7567142614679007,0.7380064384029427,6000.0
weighted avg,0.759621109246169,0.7341666666666666,0.7428357041089205,6000.0
